Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag,Demand_Forecast,medicine_name,patient_driven_demand,wh_weight,Rolling_7Day_Demand,Safety_Stock_Buffer,demand_next_leadtime,projected_inventory,Restock_Alert_Target,recommended_reorder,stockout_risk
2024-01-01,SKU_1,WH_1,SUP_8,West,10,592,14,379,0,13.95,20.48,0,0,8.52,Statin_High_Intensity,20.12,0.20180413763301464,10.0,213,284.97,307.03,1,72.0,Critical
2024-01-02,SKU_1,WH_1,SUP_8,West,17,575,14,379,0,13.95,20.48,0,0,18.63,Statin_High_Intensity,21.69,0.20180413763301464,13.5,196,285.12,289.88,1,89.0,Critical
2024-01-03,SKU_1,WH_1,SUP_8,North,35,540,14,379,0,13.95,20.48,1,0,39.62,Statin_High_Intensity,20.74,0.20180413763301464,20.666666666666668,161,284.24,255.76,1,123.0,Critical
2024-01-04,SKU_1,WH_1,SUP_8,South,24,516,14,379,0,13.95,20.48,0,0,19.43,Statin_High_Intensity,18.97,0.20180413763301464,21.5,137,284.17,231.82999999999998,1,147.0,Critical
2024-01-05,SKU_1,WH_1,SUP_8,West,21,495,14,379,0,13.95,20.48,0,0,18.7,Statin_High_Intensity,19.93,0.20180413763301464,21.4,116,284.8,210.2,1,169.0,Critical
2024-01-06,SKU_1,WH_1,SUP_8,East,18,477,14,379,0,13.95,20.48,0,0,18.33,Statin_High_Intensity,20.47,0.20180413763301464,20.833333333333332,98,285.05,191.95,1,187.0,Critical
2024-01-07,SKU_1,WH_1,SUP_8,North,19,458,14,379,0,13.95,20.48,0,0,18.91,Statin_High_Intensity,20.14,0.20180413763301464,20.571428571428573,79,285.28,172.72000000000003,1,206.0,Critical
2024-01-08,SKU_1,WH_1,SUP_8,North,23,435,14,379,0,13.95,20.48,1,0,25.84,Statin_High_Intensity,21.26,0.20180413763301464,22.428571428571427,56,285.18,149.82,1,229.0,Critical
2024-01-09,SKU_1,WH_1,SUP_8,West,25,410,14,379,0,13.95,20.48,0,0,21.7,Statin_High_Intensity,21.23,0.20180413763301464,23.571428571428573,31,283.88,126.12,1,253.0,Critical
2024-01-10,SKU_1,WH_1,SUP_8,South,25,385,14,379,0,13.95,20.48,0,0,21.34,Statin_High_Intensity,20.22,0.20180413763301464,22.142857142857142,6,283.13,101.87,1,277.0,Critical
2024-01-11,SKU_1,WH_1,SUP_8,North,23,362,14,379,0,13.95,20.48,0,0,18.82,Statin_High_Intensity,19.62,0.20180413763301464,22.0,-17,282.72,79.27999999999997,1,300.0,Critical
2024-01-12,SKU_1,WH_1,SUP_8,West,29,803,14,379,470,13.95,20.48,1,0,31.65,Statin_High_Intensity,20.42,0.20180413763301464,23.142857142857142,424,284.38,518.62,0,0.0,Warning
2024-01-13,SKU_1,WH_1,SUP_8,North,25,778,14,379,0,13.95,20.48,0,0,25.08,Statin_High_Intensity,19.63,0.20180413763301464,24.142857142857142,399,284.81,493.19,0,0.0,Warning
2024-01-14,SKU_1,WH_1,SUP_8,South,26,752,14,379,0,13.95,20.48,0,0,24.39,Statin_High_Intensity,20.53,0.20180413763301464,25.142857142857142,373,285.53000000000003,466.46999999999997,0,0.0,Warning
2024-01-15,SKU_1,WH_1,SUP_8,North,19,733,14,379,0,13.95,20.48,1,0,21.16,Statin_High_Intensity,20.27,0.20180413763301464,24.571428571428573,354,286.08000000000004,446.91999999999996,0,0.0,Warning
2024-01-16,SKU_1,WH_1,SUP_8,West,19,714,14,379,0,13.95,20.48,0,0,20.84,Statin_High_Intensity,20.81,0.20180413763301464,23.714285714285715,335,286.71999999999997,427.28000000000003,0,0.0,Warning
2024-01-17,SKU_1,WH_1,SUP_8,East,26,688,14,379,0,13.95,20.48,0,0,23.28,Statin_High_Intensity,20.67,0.20180413763301464,23.857142857142858,309,286.64,401.36,0,0.0,Warning
2024-01-18,SKU_1,WH_1,SUP_8,North,22,666,14,379,0,13.95,20.48,0,0,20.13,Statin_High_Intensity,19.6,0.20180413763301464,23.714285714285715,287,287.04999999999995,378.95000000000005,1,0.0,Critical
2024-01-19,SKU_1,WH_1,SUP_8,North,28,638,14,379,0,13.95,20.48,1,0,31.49,Statin_High_Intensity,20.18,0.20180413763301464,23.571428571428573,259,288.21,349.79,1,29.0,Critical
2024-01-20,SKU_1,WH_1,SUP_8,East,17,621,14,379,0,13.95,20.48,0,0,13.41,Statin_High_Intensity,20.7,0.20180413763301464,22.428571428571427,242,289.87,331.13,1,48.0,Critical
2024-01-21,SKU_1,WH_1,SUP_8,East,25,596,14,379,0,13.95,20.48,0,0,19.95,Statin_High_Intensity,20.04,0.20180413763301464,22.285714285714285,217,288.14,307.86,1,71.0,Critical
2024-01-22,SKU_1,WH_1,SUP_8,South,28,568,14,379,0,13.95,20.48,0,0,30.39,Statin_High_Intensity,19.96,0.20180413763301464,23.571428571428573,189,288.02,279.98,1,99.0,Critical
2024-01-23,SKU_1,WH_1,SUP_8,West,20,548,14,379,0,13.95,20.48,0,0,21.0,Statin_High_Intensity,20.48,0.20180413763301464,23.714285714285715,169,287.73,260.27,1,119.0,Critical
2024-01-24,SKU_1,WH_1,SUP_8,West,24,524,14,379,0,13.95,20.48,0,0,23.1,Statin_High_Intensity,19.81,0.20180413763301464,23.428571428571427,145,287.12,236.88,1,142.0,Critical
2024-01-25,SKU_1,WH_1,SUP_8,East,20,504,14,379,0,13.95,20.48,0,0,21.27,Statin_High_Intensity,21.28,0.20180413763301464,23.142857142857142,125,288.58,215.42000000000002,1,164.0,Critical
2024-01-26,SKU_1,WH_1,SUP_8,West,20,484,14,379,0,13.95,20.48,0,0,22.23,Statin_High_Intensity,20.85,0.20180413763301464,22.0,105,287.54,196.45999999999998,1,183.0,Critical
2024-01-27,SKU_1,WH_1,SUP_8,South,28,456,14,379,0,13.95,20.48,0,0,29.08,Statin_High_Intensity,20.35,0.20180413763301464,23.571428571428573,77,287.27,168.73000000000002,1,210.0,Critical
